index	hash	title	smName	artist	version	levels	displayBpm	abcSort	dAudioUrl	useSsc	missingDifficulties	isLineout
57	D11ldIqD8dQIi9oQQIIo86QOI8D9olP8	幸せになれる隠しコマンドがあるらしい	Shiawase ni nareru kakushi command ga arurashii	うたたP feat. 結月ゆかり	15	2,6,10,13,,7,11,13,	142	さ	0y57lzbm6l1e8k4/Shiawase%20ni%20nareru%20kakushi%20command%20ga%20arurashii.mp3				
58	qlPqO10q6PliDQDbd01IP0b6iqO0bDb6	至上のラトゥーリア	Shijou no laturia	Vanitas Lacrimosa	17	3,6,9,12,,6,10,12,	135	さ	6wr4eksvbaz1pvt/Shijou%20no%20laturia.mp3				
59	oQ8oqddQOObiq0ldo68i1d6o1IidObi6	雫	Shizuku	あさき	12	2,5,9,12,,5,9,12,	210	さ	vbrehlrw9xjw2al/Shizuku.mp3				
60	OoQoQIP06Doq1d88dDQQdlQ8i68Do9DO	漆黒のスペシャルプリンセスサンデー	Shikkoku no special princess sundae	日向美ビタースイーツ♪	14	4,8,11,13,,7,11,13,	200	さ	shwxnu56k5gu0r0/Shikkoku%20no%20special%20princess%20sundae.mp3				
61	0d8Q9I86lo8oDlQiPd81ll66ob0qli89	しゃかりきリレーション	Shakariki relation	ときめきアイドル project 結城秋葉	15	3,6,9,11,,6,9,12,	167	さ	i3eb3n9w767fke1/Shakariki%20relation.mp3				
62	6dO6i9qq601D8ild9QIlbO8bodbiQ1Pl	灼熱Beach Side Bunny	Shakunetsu Beach Side Bunny	DJ Mass MAD Izm*	14	3,7,11,15,,7,12,15,	153	さ	id9so0mnz1fxbwn/Shakunetsu%20Beach%20Side%20Bunny.mp3				
63	lIlold9IQbDb0d6IdP6600DOQIDb9dOP	十二星座の聖域	Juuniseiza no seiiki	Zodiac Fall	15	3,6,10,13,,6,10,13,	164	さ	38190ee20ao32bt/Juuniseiza%20no%20seiiki.mp3				
64	DIiQbd09D0PoIiPl9iP1q8qldOOqol8i	シュレーディンガーの猫	Schrodinger no neko	Cait Sith	15	6,9,12,15,18,9,12,15,18	187	さ	uejw3o9kfu7oeev/Schrodinger%20no%20neko.mp3				
65	dlqPb1iqPo81qI89816QIoi01b1b0P06	春風ブローインウィンド	Shunpuu blowing wind	TAG	15	2,6,10,15,,7,10,14,	80-160	さ	f4kjj1g9mtdx8d6/Shunpuu%20blowing%20wind.mp3				
66	qoidddb08iIoDOo9DQoO0loPl8lPQ81o	スイーツはとまらない♪	Sweets wa tomaranai	日向美ビタースイーツ♪	16	2,4,9,13,,4,9,13,	204	さ	ryr2pexm4t199ln/Sweets%20wa%20tomaranai.mp3				
67	PldO10PIiQ6lOiI16o060OQIiq69QO96	すきなことだけでいいです	Sukina koto dakede ii desu	ピノキオピー	16	3,5,9,13,,5,10,13,	140	さ	2o9z3f6h080ig7w/Sukina%20koto%20dakede%20ii%20desu.mp3				
68	80d8obPdlobP9qlqiDb01999o01q6DdP	ずっとみつめていて (Ryu☆Remix)	Zutto Mitsu Meteite (Ryu Remix)	DJ UTO vs. Starving Trancer feat. Mayumi Morinaga	13	1,7,9,12,15,7,10,12,15	160	さ	pvv9qwwamt9izqi/Zutto%20Mitsu%20Meteite%20%28Ryu%20Remix%29.mp3				
69	ibI69PPO1iP0D1IlI0bb11QOq6081POo	隅田川夏恋歌	SUMIDAGAWA KARENKA	seiya-murai feat.ALT	12	2,5,10,12,16,6,9,12,16	180	さ	x17wilog19lfzle/SUMIDAGAWA%20KARENKA.mp3				
70	666ObIO9bO8D8q8q08I1OQo96DdIbbiO	すろぉもぉしょん	SLoWMoTIoN	ピノキオピー	15	3,5,9,12,,5,9,12,	160	さ	vjyzatw4ixdoygu/SLoWMoTIoN.mp3				
71	ld8lOqloqD6lOl880ldDo819bDb9q1Qi	星座が恋した瞬間を。	Seiza ga koishita shunkan wo	BEMANI Sound Team "DJ TOTTO feat.MarL"	15	2,7,9,12,,7,9,12,	186	さ	lnfym8vdrfwk1no/Seiza%20ga%20koishita%20shunkan%20wo.mp3				
72	I8diIQiPO90qDD60oQ0o669I99dI69DD	晴天Bon Voyage	Seiten Bon Voyage	TOMOSUKE × seiya-murai feat. ALT	13	4,7,9,12,,7,9,11,	231	さ	2dilap08mapavuz/Seiten%20Bon%20Voyage.mp3				
73	IQ0ID09qD6O1oOdIq0oilI8I8l9DlP9b	セツナトリップ	Setsuna Trip	Last Note. feat. GUMI	14	1,4,10,14,,4,10,14,	145	さ	cfi4zoi2test6h7/Setsuna%20Trip.mp3				
74	bq8DOQ9Idq9Ii9PQ1bqPIQoQPl961d1o	零 - ZERO -	ZERO	TËЯRA	10	3,5,8,11,,6,8,13,	90-180	さ	cfvvaokp2sj02ll/ZERO.mp3				
75	D0Qb898oqblPoP68PPq1o9i9dI9o0D9i	千年ノ理	Sennen no kotowari	猫叉Master	15	3,6,9,12,,6,9,12,	153	さ	5mktci83prwwcbu/Sennen%20no%20kotowari.mp3				
76	9obIQOP8O1l0PQ0Oi1oPQI198o0Pd81o	創世ノート	Sousei Note	PON+wac	13	2,8,10,13,,8,10,14,	200	さ	b9ogqcur81n4a36/Sousei%20Note.mp3				
77	P869didbP8Q69IQ0dIqo1ibOb0bb99Q1	宇宙(ソラ)への片道切符	Sora e no katamichi kippu	Musical Cosmology	15	3,7,10,13,,7,9,12,	88-175	さ	479d3u0kt8cfdsp/Sora%20e%20no%20katamichi%20kippu.mp3				
78	Q9l0i6DPO08obldq101ldDioiqdIDqlq	タイガーランペイジ	Tiger rampage	sasakure.UK	16	2,5,9,13,17,5,10,13,17	150	た	blcbqh1mtid3n9a/Tiger%20rampage.mp3				
79	I8lidoibqQqoQOqiDi6QiDbP9DIdd989	大見解	DAIKENKAI	Des-ROW feat. TSUBOI for ALPHA	7	4,4,8,12,13,5,8,13,14	143-172	た	z7k74hf4k8i4egu/DAIKENKAI.mp3				
80	P8DoiO0QO6Qb8iiP9D1IQ080lQQPD6ll	闘え！ダダンダーンＶ	Tatakae! Dadandarn V	ときめきアイドル project	15	3,6,9,13,,6,10,13,	176	た	d4i6nykzeqwgj5w/Tatakae%21%20Dadandarn%20V.mp3				
81	DDDiQOd1IQQ6QIIq09PDqdQdDIll6bQI	打打打打打打打打打打	Dadadadadadadadadada	ヒゲドライバー join. SELEN	15	2,5,11,13,16,5,11,13,16	156	た	9ju12y5emh4qi67/Dadadadadadadadadada.mp3				
82	POoldOddQl9Dbq8b6iOP0iPoQd6IdOPl	男々道	DanDanDO(The true MAN's Road)	Des-ROW・組	8	3,4,7,12,,4,8,10,	156-160	た	6352yip90tcrfgh/DanDanDO%28The%20true%20MAN%27s%20Road%29.mp3				
83	I9iODl9bl1d8PilOilii9Dd19PP6QI66	チカラ	CHIKARA	BeForU	8	4,5,8,10,,4,9,13,	185	た	ntfxa9evlnwyk61/CHIKARA.mp3				
84	biqbD9I9q9D16i0i1Idb9d111l1QDq86	ちくわパフェだよ☆CKP	Chikuwa parfait da yo CKP	日向美ビタースイーツ♪	13	4,7,9,12,14,7,9,12,14	205	た	939vh7h6avvv71p/Chikuwa%20parfait%20da%20yo%20CKP.mp3				
85	91dD6iqPO066do99169POPbQPbo9o6oq	地方創生☆チクワクティクス	Chihou sousei chikuwactics	日向美ビタースイーツ♪	14	2,6,10,13,,7,10,13,	170	た	febmdgydvzmuj1n/Chihou%20sousei%20chikuwactics.mp3				
86	lIQ1608o9O6bdoPO0ooi8io8i6q6bO1b	ちゅ～いん☆バニー	Chewin' Bunny	阿部靖広 feat. Strawberry Wink	14	3,6,8,10,13,5,8,11,13	180	た	ab974pl33qr7r65/Chewin%27%20Bunny.mp3				
87	iQP6PI8oDQi1OPQObDQO1IIP9I8i0I1o	チョコレートスマイル	Chocolate Smile	日向美ビタースイーツ♪ & ここなつ	14	3,6,9,12,,6,9,12,	196	た	16c40b8bk3djreo/Chocolate%20Smile.mp3				
88	P66d8iQQIIQO96qoDdIqi9l19i69D9Dq	チルノのパーフェクトさんすう教室	Cirno's Perfect Math Class	ARM＋夕野ヨシミ feat. miko	15	3,6,10,13,15,6,10,13,15	175	た	uxuyriajuq2vzc3/Cirno%27s%20Perfect%20Math%20Class.mp3				
89	Q96Qo0qbQ81odQoqPOOQ98oDbo6Pb1IO	チルノのパーフェクトさんすう教室 (EDM REMIX)	Cirno's Perfect Math Class (EDM REMIX)	uno(IOSYS)	15	1,4,10,13,,5,11,13,	130	た	cqrxfkjr0cvbwyy/Cirno%27s%20Perfect%20Math%20Class%20%28EDM%20REMIX%29.mp3				
90	Od08diDbdbl1Pi90QdO0ibqq8D111q9b	追憶のアリア	Tsuioku no aria	Blanc Bunny Bandit	17	2,4,7,11,,4,7,11,	130	た	60paq0f78lc23fx/Tsuioku%20no%20aria.mp3				
91	lQ86Pod1b9oI8OiDDoId099di9OI8d9I	デッドボヲルdeホームラン	Deadball de homerun	猫叉Masterβ2	14	3,6,9,13,,5,8,13,	145	た	c1qh7nlcxv81df8/Deadball%20de%20homerun.mp3				
92	D68PQib86POo9D6O8Q0qO8bD6bDb1bdl	天空の華	Tenkuu no hana	S-C-U × U1 overground	14	4,7,12,15,,7,12,15,	90-180	た	xq5lftjz33023ki/Tenkuu%20no%20hana.mp3				
93	OQbPdOIo6dPPIq6d8qid6DbPP0q991i6	天上の星～黎明記～	Tenjou no Hoshi -Reimeiki-	TЁЯRA	12	2,5,8,12,,5,8,12,	85-170	た	65pqrvrdo2mjy5j/Tenjou%20no%20Hoshi%20-Reimeiki-.mp3				
94	oQ868oOio6O90i9qO1o8I96P1do11ID0	東京神話	Tokyo shinwa	DJ TECHNORCH feat.宇宙★海月 vs BEMANI Sound Team "U1-ASAMi"	17	5,9,13,17,,9,13,17,	98-196	た	hskuy7cgo31lit6/Tokyo%20shinwa.mp3				
95	QoODOoqDli0bOoqqDo8ODo1lDI9llblo	ドーパミン	Dopamine	U1 overground	14	7,10,13,17,,10,13,17,	100-200	た	fp9vplu7scbsh6d/Dopamine.mp3				
96	Dlq6qdP1bOPDObbbQQ6b8iPbd1ODq69P	どきドキ バレンタイン	Dokidoki Valentine	ひまわり∗パンチ	16	3,6,9,12,,6,9,12,	169	た	s2ff0l9tbjouuu2/Dokidoki%20Valentine.mp3				
97	QoId0biOD18610ii0DDP61QqOl6qq86q	ドキドキ☆流星トラップガール!!	Dokidoki ryuusei trap girl!!	流星トラップボーイズ	14	3,6,9,14,,6,10,14,	140	た	ltiypnp7dty9950/Dokidoki%20ryuusei%20trap%20girl%21%21.mp3				
98	oDQqbI86bdlqbiO1dbiDP0PDd91bI6iP	毒占欲	Dokusenyoku	DECO*27	16	2,5,8,11,,5,8,11,	117	た	v6dk8xq92h2ynpt/Dokusenyoku.mp3				
99	q1qI0QibDDP6oPdl8DlIlPo80DqDd66P	突撃！ガラスのニーソ姫！	Totsugeki! Glass no kneeso hime!	山本椛 (monotone)	14	4,7,11,14,,7,11,14,	185	た	nn2fcs76v01v7lh/Totsugeki%21%20Glass%20no%20kneeso%20hime%21.mp3				
100	II8Dlo69PoPOII9P88qdlQPP8I61DlDo	轟け！恋のビーンボール！！	Todoroke! Koi no beanball!!	ダイナミック野球兄弟 v.s. クロスファイヤーPrim	14	3,7,11,16,,6,11,16,	180	た	0iskuqtvtyiacob/Todoroke%21%20Koi%20no%20beanball%21%21.mp3				
101	liq91ddlPQ16iooqDDQ86qlodIO10Qb1	ナイト・オブ・ナイツ	Night of knights	ビートまりお(COOL&CREATE)	15	1,7,11,15,16,7,11,15,17	180	な	xfy1xps2knnnafo/Night%20of%20knights.mp3				
102	IlbI1QQOPI0o0IdoPI6QPldqQob16DOq	ナイト・オブ・ナイツ (Ryu☆Remix)	Night of knights (Ryu Remix)	Ryu☆	16	4,8,13,16,,8,13,16,	182	な	sb78uqs63xdpqic/Night%20of%20Knights%20%28Ryu%20Remix%29.mp3				
103	q0QIob1PDI6IP86dlPb6I6il9d6bP606	†渚の小悪魔ラヴリィ～レイディオ†	Nagisa no koakuma lovely~radio	夏色ビキニのPrim	13	2,6,11,16,9,6,12,16,9	190	な	a2lwlsdzqbq2hqq/Nagisa%20no%20koakuma%20lovely~radio.mp3				
104	Pi69o0idP1obO9QDqIDbPdqlb90q8Dq8	嘆きの樹	Nageki no ki	金獅子	14	4,8,12,16,18,8,12,16,18	160	な	smkprcm6lbf70q0/Nageki%20no%20ki.mp3				
105	iIPq9q8PQDDObo610oQoi0ob96PDi8li	夏色DIARY -DDR mix-	SUMMER DIARY -DDR mix-	猫叉王子 feat. TAG	14	3,7,10,14,,6,11,15,	160	な	fkhf1bb8ubhmq45/SUMMER%20DIARY%20-DDR%20mix-.mp3				
